tradeTime,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,alpha_6,alpha_7,alpha_8,alpha_9,alpha_10,alpha_11,alpha_12,alpha_13,alpha_14,alpha_15,alpha_16,alpha_17,alpha_18,alpha_19,alpha_20
093000,530.6666666666666,0.0015438045830195597,434052.3333333333,0.023056843085500607,0.035731543812303694,1978773.0133333334,1768783.69,209989.32333333333,2.132018394498117,-0.3306659382788272,433211.0571165039,434922.41100017517,434035.9251576985,1711.3538836711923,41997.86466666665,0.023769084264052814,-10.666666666666666,9.666666666666666,-0.2102496124298243,0.08290114571955541
093003,623.0,0.0015132050466658963,433966.8333333333,-0.014136331794725307,0.005339351931084294,2065671.61,1876157.1033333333,189514.50666666665,1.7665431525093038,-0.3281442864854194,433146.2505131329,434743.61595637706,433988.0922328514,1597.365443243819,37902.90133333331,-0.003535598660089323,-39.333333333333336,-85.5,-0.3654752419888099,0.07737469434825472
093006,583.6666666666666,0.0014804049667709442,433922.8333333333,0.006942997262439422,0.0014119550352716197,2113405.4,1972885.6166666667,140519.78333333333,1.7943324307703994,-0.32700604099688635,433120.5484872891,434718.07636751805,433898.3507464864,1597.5278802287469,28103.956666666647,0.006058597293266497,-63.666666666666664,-44.0,0.02778927826109499,0.061787839948655
093009,521.6666666666666,0.0013859208447433774,433760.8333333333,0.011168047417565176,-0.020895405784530724,2193333.78,1960883.1166666667,232450.66333333333,1.65763962703144,-0.3291393784812535,433047.21407489665,434499.69638001546,433784.3189265908,1452.4823051189417,46490.132666666665,-0.015123102603195044,-193.0,-162.0,-0.13669280373896098,0.058913475968319924
093012,421.0,0.001288580612430997,433644.1666666667,0.02090244739435693,-0.0013509446061533293,2217470.006666667,1979681.8766666667,237788.13,1.6272451895502453,-0.3313157557647758,432932.88719222764,434384.0180921926,433684.36813579855,1451.130899964941,47557.62599999999,0.001018803621941478,-167.0,-116.66666666666667,-0.030394437481194393,0.04109866973047911
093015,453.6666666666667,0.0011953024241957283,433382.1666666667,0.14718458494811718,0.053294662458126876,2227663.41,2001839.3066666666,225824.10333333333,1.791923531912591,-0.334062625047055,432689.01776035276,434127.2300182696,433396.35001233657,1438.2122579164761,45164.82066666667,0.08916748486091924,-245.66666666666666,-262.0,0.16467834236234785,0.06831698600863376
093018,452.3333333333333,0.0012321055748063235,433138.8333333333,0.07948449152944431,0.045050561384964286,2195584.0966666667,2029477.7566666666,166106.34,1.6388510400498586,-0.34007112870094997,432557.4270181908,433868.6495311566,433157.1160055116,1311.222512965693,33221.268000000004,0.05940014417133624,-244.0,-243.33333333333334,-0.15307249186273605,0.06860131794046143
093021,510.3333333333333,0.001354410842841742,433028.8333333333,0.04350739984150844,0.023238681084367583,2192811.8933333335,2043228.8166666667,149583.07666666666,1.688472339181321,-0.34401267356761395,432392.11876548914,433742.99878484965,433036.22753576393,1350.880019360378,29916.61533333333,0.04268803473244287,-81.0,-110.0,0.04962129913146264,0.08510917275273953
093024,490.3333333333333,0.001320326961366373,432973.1666666667,0.09942783847028698,0.02767117457353544,2163155.9366666665,2048785.7533333334,114370.18333333333,1.681215710622999,-0.34512248025719133,432369.4768534146,433639.6541228546,432967.84011445736,1270.1772694399417,22874.036666666674,0.0493534812382254,-65.66666666666667,-55.666666666666664,-0.0072566285583213486,0.07899419599986258
093027,489.0,0.0013063437190856432,432939.8333333333,0.04522810636252111,0.04361815891312302,2163258.73,2046497.8133333332,116760.91666666667,1.6541474915935321,-0.34528645168776,432341.0973211342,433594.72389869124,432924.6787624757,1253.6265775569227,23352.183333333338,0.042808362035572686,-34.0,-33.333333333333336,-0.02706821902946728,0.07809970012403951
093030,446.3333333333333,0.0012705505285847082,432903.8333333333,0.0028719390822077727,0.05861435225098976,2158238.4166666665,2047581.72,110656.69666666667,1.721171578444712,-0.3434729137484599,432327.9140081069,433516.5274118383,432898.370337355,1188.6134037311838,22131.33933333334,0.053266862117559266,-57.333333333333336,-36.0,0.06702408685118111,0.07206708666746663
093033,395.6666666666667,0.0012316316878644437,432810.5,0.050951876276267266,0.08977648315434245,2153503.2866666666,2050468.59,103034.69666666667,1.9691079664610571,-0.3391259026786835,432250.49783350644,433429.04609108483,432779.31142398616,1178.5482575781368,20606.939333333354,0.08482187033304203,-118.66666666666667,-93.33333333333333,0.24793638801634374,0.06136685253366971
093036,468.6666666666667,0.0012723605383540776,432852.3333333333,-0.02274727432334243,0.0614148198258178,2154203.28,2060373.41,93829.87,1.9767050271421378,-0.33387370136307754,432262.78931645624,433506.0690128491,432865.71988017537,1243.2796963927333,18765.974000000006,0.05582351414219269,78.33333333333333,41.833333333333336,0.007597060681081152,0.0806564207970531
093039,364.6666666666667,0.001210865883194304,432847.6666666667,-0.035110345821897385,0.05124655808092927,2149611.4633333334,2067546.7166666666,82064.74666666667,1.8468038377609686,-0.3314629682738421,432264.4590794931,433457.926894743,432848.56984649104,1193.4678152502338,16412.949333333338,0.03670101399844215,-56.666666666666664,-4.666666666666667,-0.12990118938116785,0.051636822031567914
093042,469.6666666666667,0.0012247639823224563,432835.1666666667,-0.03511768897460876,0.037567519967856636,2120526.6033333335,2050254.92,70271.68333333333,1.7832661660761115,-0.33012171514704963,432270.8723021932,433528.59534527955,432913.1679550628,1257.723043086996,14054.336666666673,0.04297837797127207,40.0,-12.5,-0.06353767168485853,0.07456380854044936
093045,497.6666666666667,0.0012552924230974907,432813.1666666667,-0.006273029118220835,0.04852035182640615,2080276.3166666667,2037842.75,42433.566666666666,1.859931996068511,-0.3289111671922286,432242.3871774149,433441.34108268825,432789.71027187543,1198.9539052730202,8486.71333333334,0.04493215494937984,-8.0,-22.0,0.0766658299924016,0.08356940811977084
093048,442.6666666666667,0.0011985747520726544,432745.6666666667,-0.023579483725182152,0.05367015364439444,2112367.52,2020557.41,91810.11,1.6714385984369193,-0.3264301431007191,432201.53265493026,433369.7770409846,432747.19315345073,1168.2443860541312,18362.022,0.04272019467042494,-95.0,-67.5,-0.18849339763159298,0.08151776573991777
093051,516.6666666666666,0.0012531427422898596,432778.0,0.018770781552185787,0.052259979585549544,2125961.48,1990208.85,135752.63,1.6212989477293962,-0.32447799938507854,432175.4297218236,433373.1918444975,432733.5966887296,1197.7621226738602,27150.526000000005,0.04375497151197316,69.33333333333333,32.333333333333336,-0.050139650707523235,0.12784853119152914
093054,490.3333333333333,0.0012515673056975776,432831.5,-0.0022172238570390417,0.04955531734392939,2141241.8466666667,1962901.1633333333,178340.68333333332,1.6198663605570007,-0.3219843522703185,432218.6990750566,433429.734281376,432787.66911288706,1211.03520631922,35668.13666666666,0.036181229127248214,40.333333333333336,53.5,-0.0014325871723955544,0.10631715081223066
093057,476.3333333333333,0.0012731220159336956,432872.5,0.008334679976776197,0.042360210347609076,2165942.98,1966695.9933333334,199246.98666666666,1.6448968397764625,-0.3204421561350781,432263.94566463114,433459.7363117183,432826.133779789,1195.7906470869093,39849.397333333334,0.035574977207357646,34.0,41.0,0.025030479219461634,0.10182532326866023
093100,440.0,0.0012480365499977603,432949.0,-0.06222885905566396,0.00011480334557360999,2151695.0866666664,1974709.3866666667,176985.7,1.4615384551393935,-0.31400652838558557,432395.428082134,433563.1127931329,432993.8470458939,1167.6847109989162,35397.14000000001,-0.023759843934161647,58.333333333333336,76.5,-0.18335838463707005,0.10337143541629891
093103,534.6666666666666,0.0012452572814940568,433101.3333333333,-0.03811569418142967,0.017522285447658353,2084111.7966666666,1973416.83,110694.96666666666,1.5232527972718455,-0.31015441361138607,432499.6638189275,433701.20300499065,433054.96922426426,1201.5391860628865,22138.993333333343,-0.01078287812501935,199.66666666666666,152.33333333333334,0.06171434213245153,0.12189118143220905
093106,499.0,0.0012094604194386733,433115.5,-0.06450678253353115,0.01597808446039813,2086370.63,1951707.2,134663.43,1.50337342257268,-0.30532764776870136,432537.5160021047,433686.8012248801,433061.17042275803,1149.2852227749288,26932.686000000012,-0.013857116937093824,-3.6666666666666665,14.166666666666666,-0.019879374699164103,0.10257817099637108
093109,453.6666666666667,0.0011954242625065844,433143.1666666667,-0.04891397233338398,0.024676605104509277,2083792.0533333332,1913023.8166666667,170768.23666666666,1.5098001632317708,-0.30367518845750985,432519.40262924496,433701.4081109193,433052.27560464456,1182.0054816741344,34153.647333333356,0.0005074052601272287,5.0,27.666666666666668,0.006426740659090545,0.09705306259741507
093112,415.0,0.0011297764340948051,433152.1666666667,-0.06899807055556184,-0.004570909528245043,2072048.7866666666,1925263.4766666666,146785.31,1.5317150451446069,-0.3019229537412503,432597.97122597543,433732.25665847026,433168.79373321746,1134.2854324944763,29357.062000000024,-0.02441993630372795,-10.333333333333334,9.0,0.02191488191283581,0.11017844078509763
093115,403.0,0.0011545776757164053,433103.1666666667,-0.12808739778038045,-0.008548059323143715,2089798.1666666667,1923912.8733333333,165885.29333333333,1.3846366567758632,-0.3008002464977943,432526.6781197944,433725.76095692016,433109.63235467573,1199.0828371260197,33177.058666666686,-0.04710575594886366,-55.0,-49.0,-0.1470783883687424,0.08283862060383788
093118,415.3333333333333,0.001173050565236878,433100.3333333333,0.011352599221246597,0.017773518003345517,2100920.8433333333,1923795.0,177125.84333333332,1.5528749301754634,-0.30000289879126607,432518.3299701414,433716.428995515,433064.949921768,1198.0990253731807,35425.16866666668,0.004869076786820853,3.3333333333333335,-2.8333333333333335,0.16823827339960026,0.07703186924266374
093121,401.0,0.0011627842612732524,433027.8333333333,-0.004324446659280663,0.008020609140212041,2110384.68,1916047.51,194337.17,1.4692510024573313,-0.3014211372958482,432505.6773127617,433616.2441635695,433055.74432469293,1110.566850807969,38867.43400000003,0.0037086583413900548,-79.66666666666667,-72.5,-0.08362392771813244,0.08209909027881986
093124,364.0,0.0011063999941283193,432976.3333333333,0.03936608447844973,0.03753124975693023,2135537.1466666665,1909850.36,225686.78666666665,1.5646869956041543,-0.3035290669965405,432472.7028326142,433552.55058267084,432983.56607699225,1079.847750056478,45137.35733333337,0.040851355549672695,-70.0,-51.5,0.0954359931468232,0.07991496994210678
093127,366.0,0.0011248881448833947,432970.3333333333,0.05118454882775256,0.05511872230715462,2146021.7733333334,1919356.7366666666,226665.03666666665,1.777626124420996,-0.303438880796091,432430.83336096775,433532.15044383105,432907.19678510004,1101.3170828632096,45333.00733333335,0.04713711853005499,-5.0,-6.0,0.2129391288168394,0.05828128867429611
093130,382.3333333333333,0.0011279588381874102,433039.1666666667,-0.05274797856323749,0.03382302243852744,2161357.1033333335,1926192.3566666667,235164.74666666667,1.570897729573378,-0.3026477903617052,432528.9501344915,433618.8456868958,433050.895418644,1089.8955524041448,47032.949333333345,0.01393967888429958,77.0,68.83333333333333,-0.20672839484761674,0.08495380076186078
093133,393.0,0.0011408017377781332,433106.5,-0.07667344715411249,0.014552226267609344,2165025.9033333333,1930477.7833333334,234548.12,1.4639333763632583,-0.3030620801863515,432571.3629054202,433651.6028218895,433104.57143112173,1080.239916469993,46909.62400000001,-0.013107529908419272,72.66666666666667,67.33333333333333,-0.10696435321011781,0.10256425842082828
093136,356.0,0.0011257965347588608,433183.0,-0.010267921365980646,0.0029083347170176924,2174286.1233333335,1930587.7166666666,243698.40666666668,1.4187214055789448,-0.3016953126920305,432659.18468348583,433736.2636883747,433216.86715174717,1077.0790048891358,48739.681333333334,-0.009123605999576309,58.0,76.5,-0.04521197078431549,0.06505998536286015
093139,335.6666666666667,0.0010769513133597841,433190.1666666667,-0.07106436502674143,0.007256110755071477,2180210.2133333334,1944445.75,235764.46333333335,1.4780799752043938,-0.2984755200560417,432689.6857185802,433794.1847146884,433265.0611905953,1104.498996108795,47152.89266666668,-0.017498543859036826,-3.0,7.166666666666667,0.059358569625449865,0.06269304511592462
093142,356.0,0.001077041346888408,433258.0,-0.060448572910628745,0.01270036757601444,2192736.243333333,1956279.43,236456.81333333332,1.4536527252106661,-0.2968690867128983,432729.6129284772,433816.47762103414,433275.2117993107,1086.8646925571345,47291.362666666675,-0.01288048553693517,78.0,67.83333333333333,-0.024427249993727612,0.09259052748401245
093145,280.0,0.001054744486516727,433214.0,-0.013561543323060912,0.014437913809191285,2203349.94,1970130.8,233219.14,1.5315168623370772,-0.29704150279399083,432732.9820468534,433769.3262598605,433244.71079405077,1036.3442130075837,46643.827999999994,-0.0027676065071889724,-82.0,-44.0,0.07786413712640947,0.04253366849123687
093148,319.3333333333333,0.0010857176111106663,433178.3333333333,0.012708559052430941,0.038207252389990544,2204863.6233333335,1976002.83,228860.79333333333,1.5839246501304167,-0.2985638162791201,432680.3423220964,433700.9518140214,433158.82894351386,1020.6094919248645,45772.15866666668,0.01817817250149095,-16.0,-35.666666666666664,0.052407787793341015,0.046553672122571756
